,TV,Radio,Newspaper,actual Sales,predicted sales
72,109.8,14.3,31.7,12.4,10.688223863818328
22,237.4,5.1,23.5,12.5,15.000315840241603
189,286.0,13.9,3.7,15.9,18.96260160668836
160,131.7,18.4,34.6,12.9,12.451735777829285
94,250.9,36.5,72.3,22.2,21.191597727146945
163,188.4,18.1,25.6,14.9,15.082956223784556
185,253.8,21.3,30.0,17.6,18.70927159310215
165,117.2,14.7,5.4,11.9,11.211153845997659
10,199.8,2.6,21.2,10.6,12.79359711554115
92,28.6,1.5,33.0,7.3,4.542039266845446
179,276.7,2.3,23.7,11.8,16.323811175798596
62,261.3,42.7,54.7,24.2,22.88305095330986
169,215.4,23.6,57.6,17.1,17.22663177437133
31,292.9,28.3,43.2,21.4,21.767550245444816
41,202.5,22.3,31.6,16.6,16.487919249641624
199,283.6,42.0,66.2,25.5,23.75197604972544
192,75.5,10.8,6.0,9.9,8.54484274807626
26,262.9,3.5,19.5,12.0,15.915073698318846
69,237.4,27.5,11.0,18.9,19.153359841272906
177,248.4,30.2,20.3,20.2,20.125582379371664
164,163.5,36.8,7.4,18.0,17.416561901483107
100,135.2,41.7,45.9,17.2,16.839440868325497
147,240.1,7.3,8.7,13.2,15.58794419776331
115,78.2,46.8,34.5,14.6,15.154010391530269
74,129.4,5.7,31.3,11.0,10.030541278243364
34,265.6,20.0,0.3,17.4,19.139859848870575
188,191.1,28.7,18.2,17.3,17.180314243029155
20,147.3,23.9,19.1,14.6,14.249763339155935
4,151.5,41.3,58.5,18.5,17.478492899619958
21,218.4,27.7,53.4,18.0,18.134574859009817
158,149.8,1.3,24.3,10.1,10.205736687928912
56,198.9,49.4,60.0,23.7,21.172449605670177
159,11.7,36.9,45.2,7.3,10.189267668126707
14,97.5,7.6,7.2,9.7,8.982348170620295
32,112.9,17.4,38.6,11.9,11.373870457754617
16,195.4,47.7,52.9,22.4,20.72537657311653
38,74.7,49.4,45.7,14.7,15.422553729656695
127,7.8,38.9,50.6,6.6,10.352058996220714
42,177.0,33.4,38.7,17.1,17.30136996197831
27,142.9,29.3,12.6,15.0,15.058993937427589
